File,location,tag
gte_tags_hazel.csv,324891,Hazel
gte_tags_edward.csv,325072,Edward
gte_tags_edward.csv,325218,Edward
gte_tags_reddin.csv,325344,Reddin
gte_tags_flora.csv,325573,Flora
gte_tags_flora.csv,325616,Flora
gte_tags_hazel.csv,325731,Hazel
gte_tags_flora.csv,325973,Flora
gte_tags_flora.csv,325982,Flora
gte_tags_flora.csv,326526,Flora
gte_tags_flora.csv,326539,Flora
gte_tags_hazel.csv,327235,Hazel
gte_tags_reddin.csv,327245,Reddin
gte_tags_reddin.csv,327313,Reddin
gte_tags_hazel.csv,327352,Hazel
gte_tags_flora.csv,327477,Flora
gte_tags_flora.csv,327603,Flora
gte_tags_fauna.csv,327643,Fauna
gte_tags_fauna.csv,327775,Fauna
gte_tags_flora.csv,327932,Flora
gte_tags_reddin.csv,328288,Reddin
gte_tags_hazel.csv,328475,Hazel
gte_tags_fauna.csv,328792,Fauna
gte_tags_flora.csv,328831,Flora
gte_tags_fauna.csv,329149,Fauna
gte_tags_flora.csv,329218,Flora
gte_tags_fauna.csv,329303,Fauna
gte_tags_fauna.csv,329551,Fauna
gte_tags_fauna.csv,329963,Fauna
gte_tags_flora.csv,330004,Flora
gte_tags_flora.csv,330017,Flora
gte_tags_flora.csv,330225,Flora
gte_tags_hazel.csv,330385,Hazel
gte_tags_reddin.csv,330569,Reddin
gte_tags_fauna.csv,330650,Fauna
gte_tags_edward.csv,331005,Edward
gte_tags_fauna.csv,331243,Fauna
gte_tags_hazel.csv,331348,Hazel
gte_tags_fauna.csv,331756,Fauna
gte_tags_flora.csv,331775,Flora
gte_tags_fauna.csv,331842,Fauna
gte_tags_hazel.csv,331884,Hazel
gte_tags_flora.csv,332069,Flora
gte_tags_flora.csv,332091,Flora
gte_tags_fauna.csv,332108,Fauna
gte_tags_reddin.csv,332120,Reddin
gte_tags_fauna.csv,332338,Fauna
gte_tags_flora.csv,332383,Flora
gte_tags_fauna.csv,332415,Fauna
gte_tags_fauna.csv,332429,Fauna
gte_tags_fauna.csv,332441,Fauna
gte_tags_fauna.csv,332491,Fauna
gte_tags_fauna.csv,332511,Fauna
gte_tags_fauna.csv,332525,Fauna
gte_tags_fauna.csv,332535,Fauna
gte_tags_fauna.csv,332563,Fauna
gte_tags_hazel.csv,332819,Hazel
gte_tags_reddin.csv,332829,Reddin
gte_tags_fauna.csv,333074,Fauna
gte_tags_hazel.csv,333087,Hazel
gte_tags_hazel.csv,333226,Hazel
gte_tags_fauna.csv,333289,Fauna
gte_tags_reddin.csv,333399,Reddin
gte_tags_fauna.csv,333499,Fauna
gte_tags_hazel.csv,333673,Hazel
gte_tags_reddin.csv,333776,Reddin
gte_tags_reddin.csv,333861,Reddin
gte_tags_hazel.csv,333948,Hazel
gte_tags_reddin.csv,333958,Reddin
gte_tags_fauna.csv,333979,Fauna
gte_tags_flora.csv,333989,Flora
gte_tags_fauna.csv,333998,Fauna
gte_tags_fauna.csv,334107,Fauna
gte_tags_reddin.csv,334242,Reddin
gte_tags_reddin.csv,334389,Reddin
gte_tags_hazel.csv,334694,Hazel
gte_tags_hazel.csv,334731,Hazel
gte_tags_reddin.csv,334965,Reddin
gte_tags_fauna.csv,335671,Fauna
gte_tags_hazel.csv,335715,Hazel
gte_tags_fauna.csv,335979,Fauna
gte_tags_reddin.csv,335988,Reddin
gte_tags_hazel.csv,336097,Hazel
gte_tags_flora.csv,336135,Flora
gte_tags_reddin.csv,336347,Reddin
gte_tags_hazel.csv,336886,Hazel
gte_tags_fauna.csv,337308,Fauna
gte_tags_flora.csv,337365,Flora
gte_tags_hazel.csv,337392,Hazel
gte_tags_hazel.csv,337711,Hazel
gte_tags_hazel.csv,337838,Hazel
gte_tags_hazel.csv,338164,Hazel
gte_tags_hazel.csv,338430,Hazel
gte_tags_hazel.csv,338885,Hazel
gte_tags_fauna.csv,339082,Fauna
gte_tags_reddin.csv,339088,Reddin
gte_tags_fauna.csv,339236,Fauna
gte_tags_reddin.csv,339269,Reddin
gte_tags_hazel.csv,339295,Hazel
gte_tags_hazel.csv,339831,Hazel
gte_tags_reddin.csv,339851,Reddin
gte_tags_fauna.csv,339896,Fauna
gte_tags_hazel.csv,339971,Hazel
gte_tags_fauna.csv,340095,Fauna
gte_tags_hazel.csv,340338,Hazel
gte_tags_hazel.csv,340720,Hazel
gte_tags_hazel.csv,340741,Hazel
gte_tags_hazel.csv,340860,Hazel
gte_tags_fauna.csv,340998,Fauna
gte_tags_hazel.csv,341049,Hazel
gte_tags_hazel.csv,341056,Hazel
gte_tags_hazel.csv,341063,Hazel
gte_tags_hazel.csv,341151,Hazel
gte_tags_fauna.csv,341207,Fauna
gte_tags_reddin.csv,341218,Reddin
gte_tags_hazel.csv,341235,Hazel
gte_tags_fauna.csv,341583,Fauna
gte_tags_hazel.csv,341639,Hazel
gte_tags_hazel.csv,342000,Hazel
gte_tags_fauna.csv,342084,Fauna
gte_tags_fauna.csv,342244,Fauna
gte_tags_fauna.csv,342687,Fauna
gte_tags_fauna.csv,342752,Fauna
gte_tags_hazel.csv,342974,Hazel
gte_tags_fauna.csv,343224,Fauna
gte_tags_fauna.csv,343233,Fauna
gte_tags_flora.csv,343242,Flora
gte_tags_fauna.csv,343251,Fauna
gte_tags_fauna.csv,343609,Fauna
gte_tags_fauna.csv,343847,Fauna
gte_tags_fauna.csv,343893,Fauna
gte_tags_fauna.csv,343915,Fauna
gte_tags_fauna.csv,344038,Fauna
gte_tags_fauna.csv,344101,Fauna
gte_tags_fauna.csv,344257,Fauna
gte_tags_fauna.csv,344272,Fauna
gte_tags_reddin.csv,344380,Reddin
gte_tags_hazel.csv,344443,Hazel
gte_tags_edward.csv,344742,Edward
gte_tags_hazel.csv,344878,Hazel
gte_tags_hazel.csv,345206,Hazel
gte_tags_hazel.csv,345381,Hazel
gte_tags_ofh.csv,345631,Other Female Human
gte_tags_fauna.csv,345736,Fauna
gte_tags_hazel.csv,345751,Hazel
gte_tags_reddin.csv,345773,Reddin
gte_tags_hazel.csv,345862,Hazel
gte_tags_reddin.csv,345872,Reddin
gte_tags_fauna.csv,345917,Fauna
gte_tags_fauna.csv,346034,Fauna
gte_tags_fauna.csv,346288,Fauna
gte_tags_fauna.csv,346310,Fauna
gte_tags_fauna.csv,346361,Fauna
gte_tags_hazel.csv,346368,Hazel
gte_tags_reddin.csv,346587,Reddin
gte_tags_fauna.csv,346653,Fauna
gte_tags_reddin.csv,346748,Reddin
gte_tags_hazel.csv,346843,Hazel
gte_tags_reddin.csv,347122,Reddin
gte_tags_fauna.csv,347157,Fauna
gte_tags_fauna.csv,347279,Fauna
gte_tags_fauna.csv,347317,Fauna
gte_tags_reddin.csv,347348,Reddin
gte_tags_fauna.csv,347508,Fauna
gte_tags_fauna.csv,347589,Fauna
gte_tags_hazel.csv,347606,Hazel
gte_tags_fauna.csv,347782,Fauna
gte_tags_reddin.csv,347792,Reddin
gte_tags_fauna.csv,347875,Fauna
gte_tags_fauna.csv,347901,Fauna
gte_tags_fauna.csv,347998,Fauna
gte_tags_fauna.csv,348032,Fauna
gte_tags_fauna.csv,348065,Fauna
gte_tags_hazel.csv,348134,Hazel
gte_tags_reddin.csv,348157,Reddin
gte_tags_ofh.csv,348475,Other Female Human
gte_tags_ofh.csv,348854,Other Female Human
gte_tags_reddin.csv,348965,Reddin
gte_tags_ofh.csv,349019,Other Female Human
gte_tags_hazel.csv,349256,Hazel
gte_tags_reddin.csv,349285,Reddin
gte_tags_reddin.csv,349363,Reddin
gte_tags_ofh.csv,349381,Other Female Human
gte_tags_hazel.csv,349485,Hazel
gte_tags_reddin.csv,349808,Reddin
gte_tags_ofh.csv,349890,Other Female Human
gte_tags_ofh.csv,350141,Other Female Human
gte_tags_ofh.csv,350177,Other Female Human
gte_tags_ofh.csv,350203,Other Female Human
gte_tags_ofh.csv,350228,Other Female Human
gte_tags_ofh.csv,350337,Other Female Human
gte_tags_reddin.csv,350386,Reddin
gte_tags_ofh.csv,350619,Other Female Human
gte_tags_hazel.csv,350635,Hazel
gte_tags_edward.csv,350803,Edward
gte_tags_edward.csv,350825,Edward
gte_tags_reddin.csv,350918,Reddin
gte_tags_reddin.csv,350958,Reddin
gte_tags_fauna.csv,351049,Fauna
gte_tags_fauna.csv,351060,Fauna
gte_tags_ofh.csv,351081,Other Female Human
gte_tags_reddin.csv,351126,Reddin
gte_tags_ofh.csv,351314,Other Female Human
gte_tags_ofh.csv,351480,Other Female Human
gte_tags_ofh.csv,351621,Other Female Human
gte_tags_reddin.csv,351807,Reddin
gte_tags_ofh.csv,351821,Other Female Human
gte_tags_hazel.csv,351859,Hazel
gte_tags_ofh.csv,351968,Other Female Human
gte_tags_fauna.csv,352023,Fauna
gte_tags_ofh.csv,352083,Other Female Human
gte_tags_ofh.csv,352153,Other Female Human
gte_tags_fauna.csv,352194,Fauna
gte_tags_hazel.csv,352402,Hazel
gte_tags_ofh.csv,352435,Other Female Human
gte_tags_hazel.csv,352526,Hazel
gte_tags_ofh.csv,352569,Other Female Human
gte_tags_ofh.csv,352770,Other Female Human
gte_tags_hazel.csv,352786,Hazel
gte_tags_hazel.csv,352920,Hazel
gte_tags_ofh.csv,353127,Other Female Human
gte_tags_hazel.csv,353288,Hazel
gte_tags_ofh.csv,353573,Other Female Human
gte_tags_ofh.csv,353618,Other Female Human
gte_tags_ofh.csv,353910,Other Female Human
gte_tags_ofh.csv,354148,Other Female Human
gte_tags_ofh.csv,354552,Other Female Human
gte_tags_ofh.csv,354836,Other Female Human
gte_tags_ofh.csv,354990,Other Female Human
gte_tags_ofh.csv,355002,Other Female Human
gte_tags_ofh.csv,355343,Other Female Human
gte_tags_ofh.csv,355357,Other Female Human
gte_tags_ofh.csv,355375,Other Female Human
gte_tags_ofh.csv,355415,Other Female Human
gte_tags_ofh.csv,355600,Other Female Human
gte_tags_ofh.csv,355702,Other Female Human
gte_tags_hazel.csv,355941,Hazel
gte_tags_edward.csv,356122,Edward
gte_tags_hazel.csv,356339,Hazel
gte_tags_edward.csv,356514,Edward
gte_tags_ofh.csv,356631,Other Female Human
gte_tags_edward.csv,357205,Edward
gte_tags_hazel.csv,357318,Hazel
gte_tags_ofh.csv,357532,Other Female Human
gte_tags_ofh.csv,357572,Other Female Human
gte_tags_edward.csv,357697,Edward
gte_tags_reddin.csv,357790,Reddin
gte_tags_reddin.csv,357815,Reddin
gte_tags_reddin.csv,357828,Reddin
gte_tags_reddin.csv,357845,Reddin
gte_tags_edward.csv,357900,Edward
gte_tags_ofh.csv,358097,Other Female Human
gte_tags_hazel.csv,358181,Hazel
gte_tags_ofh.csv,358192,Other Female Human
gte_tags_ofh.csv,358573,Other Female Human
gte_tags_ofh.csv,358743,Other Female Human
gte_tags_edward.csv,358826,Edward
gte_tags_edward.csv,358974,Edward
gte_tags_edward.csv,359037,Edward
gte_tags_fauna.csv,359231,Fauna
gte_tags_fauna.csv,359352,Fauna
gte_tags_fauna.csv,359433,Fauna
gte_tags_hazel.csv,359489,Hazel
gte_tags_flora.csv,359513,Flora
gte_tags_flora.csv,359538,Flora
gte_tags_flora.csv,359888,Flora
gte_tags_fauna.csv,359899,Fauna
gte_tags_edward.csv,359965,Edward
gte_tags_hazel.csv,360090,Hazel
gte_tags_reddin.csv,360157,Reddin
gte_tags_edward.csv,360177,Edward
gte_tags_reddin.csv,360276,Reddin
gte_tags_hazel.csv,360415,Hazel
gte_tags_edward.csv,360443,Edward
gte_tags_hazel.csv,360567,Hazel
gte_tags_edward.csv,360583,Edward
gte_tags_edward.csv,360671,Edward
gte_tags_edward.csv,360679,Edward
gte_tags_edward.csv,360769,Edward
gte_tags_reddin.csv,360833,Reddin
gte_tags_edward.csv,360964,Edward
gte_tags_reddin.csv,360987,Reddin
gte_tags_hazel.csv,361031,Hazel
gte_tags_edward.csv,361061,Edward
gte_tags_reddin.csv,361340,Reddin
gte_tags_hazel.csv,361500,Hazel
gte_tags_reddin.csv,361549,Reddin
gte_tags_fauna.csv,361679,Fauna
gte_tags_fauna.csv,361819,Fauna
gte_tags_hazel.csv,361848,Hazel
gte_tags_reddin.csv,361971,Reddin
gte_tags_edward.csv,362116,Edward
gte_tags_edward.csv,362201,Edward
gte_tags_edward.csv,362227,Edward
gte_tags_hazel.csv,362245,Hazel
gte_tags_edward.csv,362421,Edward
gte_tags_reddin.csv,362447,Reddin
gte_tags_reddin.csv,362557,Reddin
gte_tags_hazel.csv,362651,Hazel
gte_tags_edward.csv,362698,Edward
gte_tags_reddin.csv,362725,Reddin
gte_tags_reddin.csv,363115,Reddin
gte_tags_hazel.csv,363190,Hazel
gte_tags_hazel.csv,363250,Hazel
gte_tags_hazel.csv,363379,Hazel
gte_tags_edward.csv,363389,Edward
gte_tags_edward.csv,363473,Edward
gte_tags_hazel.csv,363507,Hazel
gte_tags_reddin.csv,363602,Reddin
gte_tags_hazel.csv,363701,Hazel
gte_tags_reddin.csv,363897,Reddin
gte_tags_edward.csv,363928,Edward
gte_tags_reddin.csv,364084,Reddin
gte_tags_edward.csv,364202,Edward
gte_tags_reddin.csv,364278,Reddin
gte_tags_reddin.csv,364315,Reddin
gte_tags_hazel.csv,364584,Hazel
gte_tags_edward.csv,364633,Edward
gte_tags_hazel.csv,364805,Hazel
gte_tags_reddin.csv,365042,Reddin
gte_tags_edward.csv,365053,Edward
gte_tags_hazel.csv,365079,Hazel
gte_tags_hazel.csv,365203,Hazel
gte_tags_reddin.csv,365382,Reddin
gte_tags_hazel.csv,365393,Hazel
gte_tags_reddin.csv,365545,Reddin
gte_tags_edward.csv,365572,Edward
gte_tags_reddin.csv,365606,Reddin
gte_tags_edward.csv,365679,Edward
gte_tags_reddin.csv,365769,Reddin
gte_tags_edward.csv,365888,Edward
gte_tags_edward.csv,365993,Edward
gte_tags_reddin.csv,366040,Reddin
gte_tags_fauna.csv,366184,Fauna
gte_tags_edward.csv,366237,Edward
gte_tags_reddin.csv,366292,Reddin
gte_tags_hazel.csv,366334,Hazel
gte_tags_edward.csv,366571,Edward
gte_tags_edward.csv,366595,Edward
gte_tags_flora.csv,366891,Flora
gte_tags_fauna.csv,367005,Fauna
gte_tags_reddin.csv,367177,Reddin
gte_tags_edward.csv,367201,Edward
gte_tags_hazel.csv,367231,Hazel
gte_tags_reddin.csv,367301,Reddin
gte_tags_edward.csv,367366,Edward
gte_tags_hazel.csv,367429,Hazel
gte_tags_fauna.csv,367480,Fauna
gte_tags_reddin.csv,367604,Reddin
gte_tags_hazel.csv,367647,Hazel
gte_tags_edward.csv,367697,Edward
gte_tags_edward.csv,367772,Edward
gte_tags_reddin.csv,367919,Reddin
gte_tags_hazel.csv,367941,Hazel
gte_tags_reddin.csv,367953,Reddin
gte_tags_fauna.csv,368019,Fauna
gte_tags_reddin.csv,368082,Reddin
gte_tags_fauna.csv,368216,Fauna
gte_tags_hazel.csv,368240,Hazel
gte_tags_edward.csv,368290,Edward
gte_tags_edward.csv,368336,Edward
gte_tags_hazel.csv,368375,Hazel
gte_tags_fauna.csv,368441,Fauna
gte_tags_reddin.csv,368678,Reddin
gte_tags_fauna.csv,368830,Fauna
gte_tags_fauna.csv,368865,Fauna
gte_tags_hazel.csv,368917,Hazel
gte_tags_edward.csv,368951,Edward
gte_tags_fauna.csv,369121,Fauna
gte_tags_flora.csv,369140,Flora
gte_tags_fauna.csv,369216,Fauna
gte_tags_flora.csv,369266,Flora
gte_tags_fauna.csv,369645,Fauna
gte_tags_edward.csv,369654,Edward
gte_tags_hazel.csv,369676,Hazel
gte_tags_hazel.csv,369740,Hazel
gte_tags_edward.csv,369861,Edward
gte_tags_reddin.csv,369992,Reddin
gte_tags_edward.csv,370003,Edward
gte_tags_hazel.csv,370062,Hazel
gte_tags_reddin.csv,370088,Reddin
gte_tags_hazel.csv,370197,Hazel
gte_tags_fauna.csv,370384,Fauna
gte_tags_hazel.csv,370441,Hazel
gte_tags_ofh.csv,370451,Other Female Human
gte_tags_edward.csv,370560,Edward
gte_tags_hazel.csv,370571,Hazel
gte_tags_ofh.csv,370783,Other Female Human
gte_tags_edward.csv,370856,Edward
gte_tags_hazel.csv,371162,Hazel
gte_tags_edward.csv,371209,Edward
gte_tags_hazel.csv,371309,Hazel
gte_tags_fauna.csv,371808,Fauna
gte_tags_hazel.csv,371856,Hazel
gte_tags_edward.csv,371950,Edward
gte_tags_hazel.csv,372172,Hazel
gte_tags_edward.csv,372258,Edward
gte_tags_reddin.csv,372299,Reddin
gte_tags_edward.csv,372406,Edward
gte_tags_ofh.csv,372517,Other Female Human
gte_tags_hazel.csv,372703,Hazel
gte_tags_edward.csv,372782,Edward
gte_tags_ofh.csv,372917,Other Female Human
gte_tags_hazel.csv,373174,Hazel
gte_tags_hazel.csv,373191,Hazel
gte_tags_flora.csv,373409,Flora
gte_tags_hazel.csv,373699,Hazel
gte_tags_hazel.csv,373795,Hazel
gte_tags_edward.csv,373811,Edward
gte_tags_ofh.csv,373835,Other Female Human
gte_tags_edward.csv,373868,Edward
gte_tags_hazel.csv,373925,Hazel
gte_tags_hazel.csv,374158,Hazel
gte_tags_edward.csv,374537,Edward
gte_tags_reddin.csv,374799,Reddin
gte_tags_reddin.csv,374840,Reddin
gte_tags_reddin.csv,375020,Reddin
gte_tags_reddin.csv,375860,Reddin
gte_tags_reddin.csv,375873,Reddin
gte_tags_edward.csv,375944,Edward
gte_tags_edward.csv,376233,Edward
gte_tags_reddin.csv,376327,Reddin
gte_tags_reddin.csv,376618,Reddin
gte_tags_fauna.csv,376859,Fauna
gte_tags_fauna.csv,376913,Fauna
gte_tags_edward.csv,377071,Edward
gte_tags_ofh.csv,377127,Other Female Human
gte_tags_hazel.csv,377144,Hazel
gte_tags_hazel.csv,377209,Hazel
gte_tags_ofh.csv,377362,Other Female Human
gte_tags_hazel.csv,377396,Hazel
gte_tags_ofh.csv,377447,Other Female Human
gte_tags_hazel.csv,377642,Hazel
gte_tags_ofh.csv,377957,Other Female Human
gte_tags_ofh.csv,378002,Other Female Human
gte_tags_reddin.csv,378081,Reddin
gte_tags_ofh.csv,378112,Other Female Human
gte_tags_edward.csv,378215,Edward
gte_tags_hazel.csv,378293,Hazel
gte_tags_edward.csv,378431,Edward
gte_tags_reddin.csv,378598,Reddin
gte_tags_edward.csv,378652,Edward
gte_tags_edward.csv,378690,Edward
gte_tags_edward.csv,378754,Edward
gte_tags_edward.csv,378798,Edward
gte_tags_edward.csv,379054,Edward
gte_tags_reddin.csv,379427,Reddin
gte_tags_reddin.csv,379662,Reddin
gte_tags_reddin.csv,379675,Reddin
gte_tags_reddin.csv,379913,Reddin
gte_tags_ofh.csv,379941,Other Female Human
gte_tags_edward.csv,379966,Edward
gte_tags_hazel.csv,380057,Hazel
gte_tags_ofh.csv,380138,Other Female Human
gte_tags_edward.csv,380171,Edward
gte_tags_edward.csv,380206,Edward
gte_tags_edward.csv,380314,Edward
gte_tags_hazel.csv,380367,Hazel
gte_tags_edward.csv,380397,Edward
gte_tags_ofh.csv,380491,Other Female Human
gte_tags_ofh.csv,380525,Other Female Human
gte_tags_hazel.csv,380587,Hazel
